GlobalId,Name,IfcClass,UniformatDescription,Material
3dzDZ7e8evTyTuZn2hw9d0,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
2Gpz0ivh8zzNn2Ke1sl2eB,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
0JUULnOEAQvu8Toy3Q_fV_,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
2n3h0uVKP66h_uprk0uQNu,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
0ZMUNmQDG92Y39cizgkDT8,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
355gAa1Dz_MXbDzOq5Nif2,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
26oT8$$cus8rLU1ce73xx_,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
0Ad4UwDq8GMR0rsIITwTto,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
2gyBkHRPb4InCUg5UoVzxe,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
0OE7JrlvN4RQd46nC2nJAa,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
0Asvm1OpMwMM2LENLZ$3oE,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
3amVIviDHEZRbgKkkAFJDd,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
1VrJLJRBhfSqW$p1oo8hTG,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
3Hue_KL4DeCMvQMRSW$m0M,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
1WK_rtEf3TG$KRQGuCa0X7,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
30$HW8qt0Ei53FCh2rvHGj,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
1ZK8i6bP1x2QKEq7uxkhOm,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
17yrjXqfv83icItJZkiMcT,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
0V79ObQ30eRAz3DyEvUPkY,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
0SA6DjXhqDpVgKM0NX7yOd,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
2DxAcaAbXeHCzi70o_bIst,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
2FBsba4u7phnRHnDUV66Wz,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
09mO62QexsAKlHHe06kBix,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
147zmOZnbCOTCMOegNALeh,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
3QUZbP5Ie8KgCg_jTzprM9,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_SIL,IfcMember,Murs-rideaux,
32$QBtWNViv4FbZjvXf4Pz,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
1nbyyr_45WCulR6_7c8QBD,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_133_V3_CAP_22,IfcMember,Murs-rideaux,
2Bg9DhSuZHNNsY9kMLo5VC,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
1tzc$e$G_iTyt8BtqMum5W,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
1cBJHHPt6ZDmEp1wQp8DQf,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
2TLdgA4YuljzVr7h0aimkY,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
07q4T0_EGcTWO_dn0Am0hU,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
26eOcgrppSrsPHpwBaG_eq,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
0rSEMZpXjYKsDgcUB7eO_0,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
0SW6BRBCRmUX7qyjnAIIlk,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
041pWmrs7mBy45CeiI7Iwv,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
1ZcvoTcRYxUgVwzHIGrnGh,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
1yNro9OYBNDx1PhhTP2BRw,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
0r_QW8tRYbUEPBorhAKmQ0,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
3EG1ELCNbzKINLWpxr2igN,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
38CBDYuI103kU2Y9WOzxQ5,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
1E0Rs$b9glS9QEgZ5f38Xz,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
2ju70$p6_7SesQ0zxKz_NQ,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3osbWItjZ6kyoQ8Yz924sy,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
1Ubtb2Ir5SvNiC2ZHTa$PQ,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3fYQ4iJ2wbf8b_H4mAFsCU,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
0RByKh4UAKdR4ZNuOut1dr,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
2rdhJDcyZg0_Yqu7GQhi4C,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
25r40qOyVfnQXClTLnvc3V,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
0D7t491VOlI0YmoS4UdUUe,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
